Block,Transaction Hash,Transaction Link,Seller Address,Buyer Address,OpenSea ETH Sale Price
13110361,0xc3d539cb830617c42e79c033b571e5206f9839dab199b463d737aff587ca5ba8,https://etherscan.io/tx/0xc3d539cb830617c42e79c033b571e5206f9839dab199b463d737aff587ca5ba8#eventlog,0xe32395e1E93928cc3e17152E5e79A3A3e705CBC4,0xaD79adE81839781AdFfbf4bdbCA09D6E734B65aa,
13110394,0xa93d88039b4e49f891cb06b384a1f9d1d03ce1a423f073e2d31d717f5e738d4e,https://etherscan.io/tx/0xa93d88039b4e49f891cb06b384a1f9d1d03ce1a423f073e2d31d717f5e738d4e#eventlog,0x896399B5194ac8417F6B0A36aac2f4E5Bf1b9A8b,0xb2ECA6156c7625a9d2b9BBAC8c6EC9AE4aFC3556,
13110403,0x8d445bce1daf00c4120da65e976c6d834efb7f4431f450a6283b1c83a8ddc45e,https://etherscan.io/tx/0x8d445bce1daf00c4120da65e976c6d834efb7f4431f450a6283b1c83a8ddc45e#eventlog,0xC310e760778ECBca4C65B6C559874757A4c4Ece0,0x31B0C4112A9AA5B79cA5883465bFC4Cd013c6282,
13110403,0x8d445bce1daf00c4120da65e976c6d834efb7f4431f450a6283b1c83a8ddc45e,https://etherscan.io/tx/0x8d445bce1daf00c4120da65e976c6d834efb7f4431f450a6283b1c83a8ddc45e#eventlog,0x31B0C4112A9AA5B79cA5883465bFC4Cd013c6282,0x4c6b83Ca1c59781faB57790a46281bbd93E539FE,
13110434,0xfa51e06658ffbf044eb19b59cee7d3224d97fa4e6835e74d8535d08a752efe7e,https://etherscan.io/tx/0xfa51e06658ffbf044eb19b59cee7d3224d97fa4e6835e74d8535d08a752efe7e#eventlog,0x22EF264C83CE7e3D82392318E7175180Ba05903c,0xf981B1DA85D5DB8210Cff484E364881E2d5CFb5a,
13110451,0xbdbda4bf549e793b446ad72b44f6393b5539b3c309ef27f78e764af7f813a5d5,https://etherscan.io/tx/0xbdbda4bf549e793b446ad72b44f6393b5539b3c309ef27f78e764af7f813a5d5#eventlog,0x95fdD3157edae1f77E5E65Cd269018353938A585,0x951cdE7a37C285081624a4CFb4E55064B81aA6Ce,45.000000
13110475,0x4c509172bb66ae1d4630cd392397d95f3a1ec789fad627d4cc6dda95ed23196e,https://etherscan.io/tx/0x4c509172bb66ae1d4630cd392397d95f3a1ec789fad627d4cc6dda95ed23196e#eventlog,0x203Bc267a4657ae5EE774Eb35cec32FAa2C0bC1f,0x3c6137504C38215feA30605b3E364a23c1d3e14F,37.720000
13110482,0x22933892be1ddeb4c12abfeb45d05f566659692fab754344e2648d8a63276da2,https://etherscan.io/tx/0x22933892be1ddeb4c12abfeb45d05f566659692fab754344e2648d8a63276da2#eventlog,0x1977C4B06a76c160EfF920c67FbC0635124364c8,0x2D1194e75B408C9395A8BBbEdC0079322b62c0a4,35.900000
13110563,0xa3be9368d48ca0c9d60c19dd61e5d88b3190f133198f678dbce2d40038ae286a,https://etherscan.io/tx/0xa3be9368d48ca0c9d60c19dd61e5d88b3190f133198f678dbce2d40038ae286a#eventlog,0xd3fC6fec4b219c2D74B366FEe6B585df71611533,0x577ff1Df8C33F95C6180BCD7b56251a9D1f3422c,41.469000
13110572,0x43ff633685c5e9ee1aff56c69c34d8224c1200a9b46868c89ed8d05b9d5e4c4f,https://etherscan.io/tx/0x43ff633685c5e9ee1aff56c69c34d8224c1200a9b46868c89ed8d05b9d5e4c4f#eventlog,0xd3746625E6Da0b5aB4566eD07Ceb453981cAb6E1,0x0E50dA617197bAAD40804c95C25A8B0172d25d5f,
